WP5 Country,Country,Year,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,"Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014"
087 Argentina,Argentina,2011,6.77580547332764,9.80569076538086,0.889073491096497,66.8577194213867,0.815802037715912,-0.168472304940224,0.754645705223083,0.840047895908356,0.231855154037476,0.607537686824799,0.225295633077621,-0.461891382932663,,0.270073294639587,0.223552897572517,0.170843616127968,0.150153532624245,0.174057528376579,0.193530723452568
087 Argentina,Argentina,2012,6.46838712692261,,0.901776373386383,67.0111770629883,0.747498393058777,,0.816546201705933,0.856516301631927,0.272219121456146,0.418255478143692,0.158757001161575,-0.604722082614899,,0.270073294639587,0.223552897572517,0.170843616127968,0.150153532624245,0.174057528376579,0.193530723452568
087 Argentina,Argentina,2013,6.58226013183594,,0.909874200820923,67.1646347045898,0.73725038766861,,0.822900295257568,0.842478513717651,0.254204720258713,0.433749258518219,,,,0.270073294639587,0.223552897572517,0.170843616127968,0.150153532624245,0.174057528376579,0.193530723452568
087 Argentina,Argentina,2014,6.67111444473267,,0.917870402336121,67.3180999755859,0.745057761669159,,0.854191601276398,0.857123732566833,0.237912863492966,0.408961415290833,,,,0.270073294639587,0.223552897572517,0.170843616127968,0.150153532624245,0.174057528376579,0.193530723452568
088 Armenia,Armenia,2006,4.28931093215942,8.70281887054443,0.6818767786026,64.2266159057617,0.520197808742523,-0.216918349266052,0.849513113498688,0.494120985269547,0.469418823719025,0.344337493181229,-0.510571479797363,-0.252896755933762,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2007,4.88151550292969,8.83599281311035,0.759644329547882,64.414192199707,0.605410754680634,-0.237513825297356,0.817444860935211,0.507100820541382,0.411717414855957,0.387620210647583,-0.324284911155701,-0.300543218851089,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2008,4.65197229385376,8.90686988830566,0.709485530853271,64.5707092285156,0.462156563997269,-0.201751112937927,0.876099228858948,0.520710170269012,0.38489180803299,0.464447110891342,-0.436660796403885,-0.195217445492744,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2009,4.17758178710938,8.75744247436523,0.680006921291351,64.7009735107422,0.441412746906281,-0.19941134750843,0.881887495517731,0.542872071266174,0.411279916763306,0.373952239751816,-0.326703488826752,-0.186996251344681,0.15664429962635,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2010,4.36781120300293,8.78077411651611,0.660342335700989,64.8115310668945,0.459256708621979,-0.161425277590752,0.890629231929779,0.509669184684753,0.426495850086212,0.355544626712799,-0.408861249685287,-0.246594920754433,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2011,4.26049137115479,8.82649230957031,0.705108463764191,64.9098052978516,0.46452471613884,-0.210980668663979,0.874601006507874,0.474549353122711,0.459074079990387,0.335884422063828,-0.384975552558899,-0.215636923909187,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2012,4.31971168518066,8.89434623718262,0.676446437835693,65.0015182495117,0.501863777637482,-0.201150879263878,0.892544388771057,0.517862975597382,0.463855445384979,0.285362303256989,-0.231782659888268,-0.158145248889923,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2013,4.27719116210938,8.92623043060303,0.723260045051575,65.0932312011719,0.504081845283508,-0.181909456849098,0.899796783924103,0.562174141407013,0.449949830770493,0.260400474071503,,,,,,0.234999999403954,,,0.109135806560516
088 Armenia,Armenia,2014,4.45308303833008,8.97261714935303,0.738763511180878,65.1849365234375,0.506487131118774,-0.206307291984558,0.920390486717224,0.580959856510162,0.40398433804512,0.214914634823799,,,,,,0.234999999403954,,,0.109135806560516
047 Australia,Australia,2005,7.34068822860718,10.567081451416,0.967892169952393,71.1015319824219,0.934973299503326,,0.39041593670845,0.842647671699524,0.238012090325356,0.53206330537796,1.20156168937683,1.76235139369965,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2007,7.28539085388184,10.6124820709229,0.965276181697845,71.4983825683594,0.890681982040405,0.332630187273026,0.51257848739624,0.826250910758972,0.215350642800331,0.526932835578918,1.16259837150574,1.81901705265045,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2008,7.25375747680664,10.6287508010864,0.946635186672211,71.5884857177734,0.915733337402344,0.29075089097023,0.430810511112213,0.826390504837036,0.218427315354347,0.644675433635712,1.17575073242188,1.84135627746582,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2010,7.4500470161438,10.629298210144,0.95451956987381,71.8523406982422,0.932058572769165,0.30241072177887,0.366127401590347,0.834236264228821,0.220073208212852,0.609752893447876,1.15743243694305,1.81729245185852,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2011,7.40561628341675,10.6375522613525,0.967029213905334,72.0282440185547,0.944586455821991,0.355116635560989,0.381771743297577,0.815860271453857,0.195323675870895,0.530786693096161,1.20243453979492,1.84294986724854,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2012,7.19558572769165,10.656023979187,0.944599032402039,72.2041473388672,0.935146272182465,0.2594875395298,0.368251740932465,0.810741782188416,0.21439690887928,0.420419186353683,1.24979293346405,1.7807537317276,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2013,7.36416912078857,10.6645259857178,0.928205192089081,72.3800506591797,0.933379173278809,0.254574865102768,0.43153902888298,0.818835258483887,0.177142262458801,0.45587146282196,,,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
047 Australia,Australia,2014,7.29234027862549,10.6725826263428,,72.5559539794922,,,,,,0.445589035749435,,,,0.478149384260178,,0.39449205994606,,0.461379021406174,0.518140077590942
089 Austria,Austria,2006,7.12221145629883,10.6256704330444,0.936350405216217,69.975944519043,0.941382348537445,0.296873897314072,0.490111172199249,0.823104739189148,0.173811689019203,0.497037798166275,1.2457594871521,1.84350287914276,,,,,,,
089 Austria,Austria,2008,7.18095397949219,10.6680955886841,0.93459278345108,70.3286972045898,0.879069268703461,0.285724103450775,0.613625228404999,0.832169592380524,0.173194527626038,0.257242202758789,1.36834728717804,1.80575037002563,,,,,,,
089 Austria,Austria,2010,7.30267858505249,10.6403455734253,0.914193332195282,70.4591064453125,0.895979762077332,0.125643372535706,0.546144843101501,0.814719200134277,0.15579254925251,0.486446619033813,1.29479551315308,1.68420660495758,0.3006651699543,,,,,,
089 Austria,Austria,2011,7.47051286697388,10.6663398742676,0.94415682554245,70.9850387573242,0.939355611801147,0.126145526766777,0.702720999717712,0.789470851421356,0.145237550139427,0.406920105218887,1.30662906169891,1.5657080411911,,,,,,,
089 Austria,Austria,2012,7.40068864822388,10.6721801757812,0.945142388343811,70.9444122314453,0.919703900814056,0.112080730497837,0.770585775375366,0.822247743606567,0.15667499601841,0.376573860645294,1.39240610599518,1.56579971313477,,,,,,,
089 Austria,Austria,2013,7.49880266189575,10.6701812744141,0.949809193611145,70.9037933349609,0.92173445224762,0.162276178598404,0.678936898708344,0.787312805652618,0.162603318691254,0.417099237442017,,,,,,,,,
089 Austria,Austria,2014,6.94999980926514,10.6799383163452,0.898920476436615,70.8631744384766,0.885026872158051,0.110797613859177,0.566931307315826,0.779692769050598,0.170149549841881,0.407695412635803,,,,,,,,,
090 Azerbaijan,Azerbaijan,2006,4.72787094116211,9.27904319763184,0.854414880275726,60.7028884887695,0.77152818441391,-0.25605109333992,0.774117171764374,0.511687636375427,0.275695145130157,0.754706621170044,-1.15264177322388,-0.741626143455505,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2007,4.56815958023071,9.49124050140381,0.753246784210205,61.0364990234375,0.522046327590942,-0.22906082868576,0.870909988880157,0.520543932914734,0.284357488155365,0.708405494689941,-0.911081492900848,-0.753516972064972,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2008,4.81718921661377,9.57254886627197,0.684267222881317,61.305061340332,0.601043283939362,-0.0522017516195774,0.715124726295471,0.577819764614105,0.226795420050621,0.792291224002838,-0.804547965526581,-0.728593826293945,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2009,4.57372522354126,9.64172554016113,0.735970318317413,61.5060768127441,0.498138397932053,-0.11004226654768,0.753849744796753,0.543640077114105,0.233942478895187,0.774251639842987,-0.752614140510559,-0.716754615306854,0.274056196212769,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2010,4.2186107635498,9.67723083496094,0.68700098991394,61.6440048217773,0.501071095466614,-0.146606028079987,0.85834664106369,0.526930570602417,0.271873325109482,0.697391331195831,-0.754656851291656,-0.798580706119537,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2011,4.68046951293945,9.6648588180542,0.725193917751312,61.7323799133301,0.537484288215637,-0.12902644276619,0.795119047164917,0.535804510116577,0.258117318153381,0.741815805435181,-0.896087348461151,-0.775468766689301,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2012,4.91077184677124,9.67333316802979,0.761873245239258,61.7968330383301,0.598859071731567,-0.164481952786446,0.763154804706573,0.553869426250458,0.266093403100967,0.707989275455475,-0.974218547344208,-0.78164678812027,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2013,5.48117828369141,9.71676921844482,0.769690155982971,61.8612823486328,0.671956956386566,-0.192524582147598,0.698819577693939,0.61887401342392,0.242455452680588,0.748923718929291,,,,,,0.194305688142776,,,0.147932931780815
090 Azerbaijan,Azerbaijan,2014,5.25153017044067,9.75503158569336,0.799433350563049,61.9257354736328,0.732772946357727,-0.234791204333305,0.653845310211182,0.597627222537994,0.219982117414474,0.778209924697876,,,,,,0.194305688142776,,,0.147932931780815
092 Bahrain,Bahrain,2009,5.70052337646484,10.6170177459717,0.904143452644348,65.2491836547852,0.895931422710419,0.0231144595891237,0.506103932857513,0.763664364814758,0.42188948392868,,-0.480877101421356,0.501174449920654,0.114906191825867,,,,,,0.33500000834465
092 Bahrain,Bahrain,2010,5.9368691444397,10.6103639602661,0.877115070819855,65.369873046875,0.862002909183502,-0.0146341491490602,0.714620172977448,0.68458753824234,0.422670722007751,,-0.739141464233398,0.486259073019028,,,,,,,0.33500000834465
092 Bahrain,Bahrain,2011,4.82397603988647,10.5987167358398,0.907867729663849,65.4874725341797,0.869870364665985,-0.0652357935905457,0.582522451877594,0.543587803840637,0.513719201087952,,-1.08838605880737,0.479608803987503,,,,,,,0.33500000834465
092 Bahrain,Bahrain,2012,5.02718687057495,10.6129455566406,0.911349594593048,65.6024551391602,0.681822896003723,,0.43791526556015,0.589015483856201,0.380814760923386,,-1.22343528270721,0.47433266043663,,,,,,,0.33500000834465
092 Bahrain,Bahrain,2013,6.68971109390259,10.6555662155151,0.883780539035797,65.7174377441406,0.809205949306488,,0.52470326423645,0.768383085727692,0.306209415197372,,,,,,,,,,0.33500000834465
092 Bahrain,Bahrain,2014,6.16513395309448,,,65.8324203491211,,,,,,,,,,,,,,,0.33500000834465
011 Bangladesh,Bangladesh,2006,4.31890916824341,7.47116374969482,0.672002196311951,58.1890869140625,0.611664235591888,0.0871705487370491,0.785916209220886,0.599945425987244,0.3207927942276,0.613737046718597,-0.979840874671936,-1.00888979434967,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2007,4.60732221603394,7.52255725860596,0.514170706272125,58.5284118652344,0.604538321495056,0.0592702440917492,0.806116878986359,0.634598910808563,0.313138157129288,0.7327601313591,-1.02017045021057,-0.86668449640274,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2008,5.05227851867676,7.57234334945679,0.46655347943306,58.8691787719727,0.606012165546417,-0.0251795928925276,0.801819920539856,0.72538685798645,0.231860756874084,0.76193243265152,-0.975876212120056,-0.842755436897278,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2009,5.08285140991211,7.61785793304443,0.52781355381012,59.2130813598633,0.630931079387665,-0.0568465739488602,0.776003956794739,0.670300304889679,0.223253846168518,0.829859614372253,-0.921225607395172,-0.858441054821014,0.0817988142371178,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2010,4.85848140716553,7.66598749160767,0.549398481845856,59.5592613220215,0.659005641937256,0.000835801241919398,0.77353048324585,0.628579914569855,0.292425215244293,0.646872878074646,-0.839947462081909,-0.847576439380646,0.148749887943268,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2011,4.98564910888672,7.71948957443237,0.606459021568298,59.9072608947754,0.83799535036087,-0.0527659244835377,0.757002651691437,0.684993863105774,0.234981536865234,0.78645259141922,-0.858008921146393,-0.82951283454895,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2012,4.7244439125061,7.76803827285767,0.581765294075012,60.2527313232422,0.667682290077209,-0.0178312472999096,0.764894425868988,0.713508248329163,0.18324539065361,0.70581191778183,-0.883089423179626,-0.890473484992981,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2013,4.66016101837158,7.81438732147217,0.530139684677124,60.598201751709,0.741518020629883,0.000754034146666527,0.742774188518524,0.619046270847321,0.246052667498589,0.73602694272995,,,,,,0.204590156674385,0.232666671276093,,
011 Bangladesh,Bangladesh,2014,4.63556480407715,7.85526132583618,0.577065050601959,60.9436721801758,0.735512852668762,-0.0816365927457809,0.789374709129333,,0.230678364634514,0.719101428985596,,,,,,0.204590156674385,0.232666671276093,,
071 Belarus,Belarus,2006,5.65764999389648,9.39298057556152,0.917898654937744,61.6932258605957,0.707080483436584,-0.253212958574295,0.708274722099304,0.605487465858459,0.269400358200073,0.593287706375122,-0.806844174861908,-1.18149268627167,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2007,5.61697626113892,9.48050880432129,0.857527673244476,62.4030342102051,0.667299509048462,-0.232537180185318,0.69484943151474,0.595992028713226,0.234981402754784,0.543614387512207,-0.693266868591309,-1.09574103355408,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2008,5.4633321762085,9.58142566680908,0.903700351715088,62.6276435852051,0.639923870563507,-0.228351175785065,0.696495950222015,,0.245659291744232,0.533608973026276,-0.536041557788849,-1.00434744358063,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2009,5.56413125991821,9.58526611328125,0.907777845859528,62.5842819213867,0.679292619228363,-0.211304768919945,0.675543069839478,0.56559681892395,0.223291501402855,0.548332989215851,-0.532979488372803,-0.984474301338196,0.356407731771469,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2010,5.52592325210571,9.66161441802979,0.918000161647797,62.5821151733398,0.700064420700073,-0.171270191669464,0.706120610237122,0.566530406475067,0.208272159099579,0.589527249336243,-0.834667921066284,-1.01570510864258,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2011,5.22530794143677,9.71736240386963,0.909887790679932,62.801082611084,0.656010866165161,-0.177057474851608,0.67193865776062,0.520889699459076,0.249455392360687,,-0.879245579242706,-1.02737188339233,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2012,5.74904346466064,9.73547840118408,0.901961505413055,64.0563659667969,0.645248830318451,-0.226528212428093,0.657430231571198,0.523195445537567,0.180764526128769,,-0.758164763450623,-0.870035648345947,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2013,5.87646627426147,9.74417304992676,0.922505974769592,65.311653137207,0.723431289196014,-0.186680838465691,0.653039157390594,0.608714163303375,0.206219658255577,0.507824778556824,,,,,0.250246316194534,0.229923516511917,,,0.329064935445786
071 Belarus,Belarus,2014,5.81240081787109,9.73894786834717,0.880258858203888,66.5669403076172,0.647184550762177,-0.0558934174478054,0.681508719921112,0.618929266929626,0.208535566926003,0.507746696472168,,,,,0.250246316194534,0.229923516511917,,,0.329064935445786
016 Belgium,Belgium,2005,7.26229047775269,10.568865776062,0.934874713420868,70.0951843261719,0.923843026161194,,0.597554445266724,0.796278774738312,0.260379940271378,0.551705002784729,1.09693694114685,1.39236199855804,,,,,,,
016 Belgium,Belgium,2007,7.21883964538574,10.6096677780151,0.921602785587311,70.8073501586914,0.900870382785797,0.0616532899439335,0.721093475818634,0.813477158546448,0.21760430932045,0.602238297462463,1.0760805606842,1.40752375125885,,,,,,,
016 Belgium,Belgium,2008,7.11659097671509,10.6115713119507,0.922977030277252,70.7164306640625,0.887026727199554,-0.00126594549510628,0.651800513267517,0.813122689723969,0.241797924041748,0.463137060403824,0.984077572822571,1.35637080669403,,,,,,,
016 Belgium,Belgium,2010,6.85351419448853,10.5868291854858,0.930570185184479,71.2078018188477,0.806930243968964,0.0152924992144108,0.697365581989288,0.828258514404297,0.240364328026772,0.336516469717026,1.08175754547119,1.43397605419159,0.306120812892914,,,,,,
016 Belgium,Belgium,2011,7.11136388778687,10.5926141738892,0.936955451965332,71.5195083618164,0.880153596401215,-0.021330488845706,0.711043894290924,0.834544539451599,0.225056365132332,0.289129465818405,1.1386353969574,1.46689736843109,,,,,,,
016 Belgium,Belgium,2012,6.93512201309204,10.5839147567749,0.927117049694061,71.3420104980469,0.855266630649567,-0.0564957410097122,0.757572531700134,0.820485770702362,0.238276809453964,0.440117180347443,1.12436532974243,1.44001054763794,,,,,,,
016 Belgium,Belgium,2013,7.10366106033325,10.5798864364624,0.909186184406281,71.1645126342773,0.890711069107056,0.0105660008266568,0.573664307594299,0.797417402267456,0.217138946056366,0.554124534130096,,,,,,,,,
016 Belgium,Belgium,2014,6.85532903671265,10.5888347625732,0.943549156188965,70.9870147705078,0.860953509807587,-0.00466613518074155,0.511975765228271,0.797633767127991,0.251557052135468,0.469111621379852,,,,,,,,,
094 Belize,Belize,2007,6.45064449310303,9.01848220825195,0.87226665019989,60.9535331726074,0.705305933952332,0.0117800328880548,0.768984436988831,0.758783340454102,0.250595718622208,0.255463123321533,0.329465746879578,-0.36407470703125,,,,,,,
042 Benin,Benin,2006,3.32980155944824,7.37165927886963,0.444781213998795,48.7176933288574,0.580069303512573,0.0212988574057817,0.789862453937531,0.587210357189178,0.309100270271301,0.540993809700012,0.423929035663605,-0.537961661815643,,,,,,,
042 Benin,Benin,2008,3.66713953018188,7.40501546859741,0.382373511791229,49.3355941772461,0.709476947784424,0.029108040034771,0.82524573802948,0.583623111248016,0.302546173334122,0.602834522724152,0.317722648382187,-0.510964393615723,,,,,,,
042 Benin,Benin,2011,3.87027955055237,7.40516710281372,0.477494388818741,49.9533081054688,0.77291876077652,-0.109617091715336,0.849472224712372,0.625820159912109,0.218678459525108,0.777150392532349,0.203670501708984,-0.550124168395996,,,,,,,
042 Benin,Benin,2012,3.19346880912781,7.4304404258728,0.523027300834656,50.101261138916,0.768971085548401,-0.0792805552482605,0.805977642536163,0.582524299621582,0.230664536356926,0.582080483436584,0.189878225326538,-0.620603799819946,,,,,,,
042 Benin,Benin,2013,3.47941279411316,7.45814561843872,0.576823055744171,50.2492141723633,0.783240497112274,-0.0519117973744869,0.855955541133881,0.702019333839417,0.216339185833931,0.546921372413635,,,,,,,,,
